Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR,Team,Pos
Logan Allen,17.0,7.7,3.4,1.3,.297,72.4%,4.40,4.53,0.1,CLE,SP
Doug Nikhazy,9.0,8.5,4.1,1.2,.289,73.2%,4.31,4.54,0.1,CLE,SP
Total,917.0,8.4,3.1,1.3,.295,72.1%,4.29,4.29,8.8,CLE,SP
Emmanuel Clase,70.0,9.2,2.1,0.7,.308,74.3%,3.10,3.00,1.4,CLE,RP
Cade Smith,72.0,11.3,3.1,0.9,.293,75.9%,3.12,3.11,1.2,CLE,RP
Hunter Gaddis,71.0,8.5,2.6,1.3,.286,72.6%,4.15,4.25,0.1,CLE,RP
Tim Herrin,66.0,9.7,3.7,0.9,.300,74.8%,3.51,3.65,0.4,CLE,RP
Erik Sabrowski,60.0,10.2,4.5,1.1,.292,75.1%,3.84,4.03,0.1,CLE,RP
Pedro Avila,58.0,8.7,3.5,1.0,.303,73.0%,3.97,3.99,0.1,CLE,RP
Andrew Walters,54.0,9.9,4.1,1.2,.292,73.5%,4.14,4.18,0.0,CLE,RP
Nic Enright,50.0,9.1,2.9,1.3,.288,73.5%,3.98,4.04,0.0,CLE,RP
Franco Aleman,46.0,9.0,3.3,1.1,.298,72.9%,3.93,3.97,0.0,CLE,RP
Andrew Misiaszek,42.0,9.1,3.8,1.1,.293,74.1%,3.91,4.12,0.0,CLE,RP
Trevor Stephan,37.0,9.4,3.1,1.1,.295,72.5%,3.93,3.87,0.0,CLE,RP
Ryan Webb,35.0,8.2,3.2,1.1,.297,73.2%,3.96,4.12,0.0,CLE,RP
Slade Cecconi,30.0,8.1,2.1,1.4,.292,72.1%,4.20,4.20,0.0,CLE,RP
Doug Nikhazy,28.0,8.5,4.1,1.2,.289,73.2%,4.31,4.54,0.0,CLE,RP
Joey Cantillo,26.0,9.2,3.9,1.1,.292,73.8%,3.98,4.17,0.0,CLE,RP
Luis Frías,24.0,9.0,3.9,1.1,.297,72.9%,4.14,4.20,0.0,CLE,RP
Triston McKenzie,22.0,8.5,3.9,1.5,.290,71.4%,4.85,4.87,0.0,CLE,RP
Parker Mushinski,19.0,7.9,3.6,1.0,.303,72.5%,4.14,4.30,0.0,CLE,RP
Luis L. Ortiz,17.0,7.6,3.3,1.3,.301,70.7%,4.62,4.57,0.0,CLE,RP
Parker Messick,15.0,8.9,2.9,1.1,.294,73.9%,3.73,3.88,0.0,CLE,RP
Alaska Abney,12.0,7.3,4.3,1.3,.296,70.7%,4.86,4.99,0.0,CLE,RP
Shane Bieber,10.0,9.0,2.2,1.0,.303,73.3%,3.61,3.48,0.0,CLE,RP
Total,541.0,9.2,3.3,1.1,.295,73.6%,3.87,3.94,3.3,CLE,RP
Tarik Skubal,199.0,10.5,2.1,0.9,.289,76.4%,2.90,2.95,5.1,DET,SP
Reese Olson,156.0,8.3,2.9,1.0,.296,72.4%,3.84,3.86,2.2,DET,SP
Casey Mize,145.0,7.3,2.5,1.1,.296,71.2%,4.12,4.13,1.6,DET,SP
