Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR,Team,Pos
Ben Casparius,9.0,8.6,3.9,1.4,.285,72.5%,4.57,4.77,0.0,LAD,SP
Justin Wrobleski,9.0,8.1,3.1,1.3,.291,73.4%,4.22,4.43,0.1,LAD,SP
Total,927.0,10.0,3.0,1.1,.294,74.1%,3.72,3.71,16.8,LAD,SP
Michael Kopech,66.0,10.6,4.1,1.2,.287,73.7%,4.04,4.07,0.3,LAD,RP
Blake Treinen,64.0,9.8,2.8,1.0,.297,74.2%,3.55,3.54,0.9,LAD,RP
Evan Phillips,63.0,10.2,2.9,1.1,.294,74.9%,3.51,3.52,0.7,LAD,RP
Anthony Banda,62.0,9.0,3.4,1.1,.294,74.4%,3.82,4.05,0.3,LAD,RP
Ryan Brasier,60.0,8.9,2.7,1.2,.295,73.2%,3.95,3.97,0.2,LAD,RP
Alex Vesia,59.0,11.1,3.9,1.3,.278,76.5%,3.74,3.96,0.3,LAD,RP
Michael Grove,54.0,9.6,2.6,1.2,.294,74.4%,3.66,3.71,0.1,LAD,RP
Edgardo Henriquez,50.0,9.2,4.2,1.3,.290,73.3%,4.30,4.49,0.0,LAD,RP
Giovanny Gallegos,46.0,8.5,3.2,1.5,.288,72.6%,4.56,4.68,-0.1,LAD,RP
Ben Casparius,42.0,8.6,3.9,1.4,.285,72.5%,4.57,4.77,-0.1,LAD,RP
Dustin May,40.0,9.5,3.1,1.1,.298,73.4%,3.73,3.73,0.1,LAD,RP
Justin Wrobleski,38.0,8.1,3.1,1.3,.291,73.4%,4.22,4.43,0.0,LAD,RP
Landon Knack,34.0,9.0,2.8,1.5,.286,72.9%,4.30,4.36,0.0,LAD,RP
Jack Dreyer,25.0,8.8,3.9,1.3,.290,74.1%,4.18,4.45,0.0,LAD,RP
Bobby Miller,26.0,8.7,3.2,1.2,.298,72.5%,4.07,4.10,0.0,LAD,RP
Brusdar Graterol,24.0,8.1,2.8,0.9,.303,73.4%,3.62,3.73,0.1,LAD,RP
Joe Jacques,22.0,6.9,3.4,1.0,.302,72.6%,4.13,4.43,0.0,LAD,RP
Nick Frasso,17.0,8.5,2.9,1.3,.290,73.0%,4.05,4.21,0.0,LAD,RP
Tony Gonsolin,15.0,8.0,3.1,1.5,.292,71.2%,4.70,4.71,0.0,LAD,RP
Justin Jarvis,13.0,7.7,3.1,1.5,.287,72.1%,4.62,4.79,0.0,LAD,RP
Ronan Kopp,10.0,9.4,5.6,1.2,.287,74.1%,4.46,4.87,0.0,LAD,RP
Total,531.0,9.3,3.3,1.2,.292,73.7%,3.99,4.10,2.9,LAD,RP
Freddy Peralta,178.0,10.4,3.2,1.2,.287,74.1%,3.78,3.81,3.1,MIL,SP
Brandon Woodruff,157.0,9.6,2.4,1.2,.291,73.6%,3.79,3.76,2.6,MIL,SP
Aaron Civale,143.0,8.5,2.7,1.5,.294,71.9%,4.45,4.41,1.5,MIL,SP
Tobias Myers,135.0,8.0,2.8,1.4,.291,71.9%,4.48,4.54,1.2,MIL,SP
Nestor Cortes,128.0,9.1,2.5,1.4,.284,74.0%,4.02,4.12,1.9,MIL,SP
Aaron Ashby,72.0,8.4,4.5,0.9,.306,73.0%,4.06,4.23,0.7,MIL,SP
DL Hall,53.0,9.4,3.9,1.1,.295,74.1%,3.95,4.13,0.7,MIL,SP
Jacob Misiorowski,28.0,9.4,4.5,1.2,.291,72.5%,4.32,4.49,0.2,MIL,SP
Chad Patrick,18.0,7.9,2.6,1.4,.286,72.0%,4.38,4.51,0.1,MIL,SP
Carlos Rodriguez,9.0,8.2,3.3,1.4,.285,72.3%,4.45,4.66,0.1,MIL,SP
Total,921.0,9.1,3.0,1.3,.291,73.1%,4.09,4.14,12.2,MIL,SP
Trevor Megill,65.0,11.1,3.2,1.0,.292,74.9%,3.48,3.41,1.1,MIL,RP
Jared Koenig,64.0,9.0,3.0,1.0,.297,74.5%,3.61,3.75,0.6,MIL,RP
Joel Payamps,63.0,8.8,2.9,1.1,.293,73.5%,3.86,3.95,0.4,MIL,RP
Bryan Hudson,62.0,9.8,3.3,1.0,.295,75.3%,3.55,3.71,0.5,MIL,RP
Nick Mears,60.0,11.0,4.0,1.0,.292,75.2%,3.63,3.66,0.3,MIL,RP
Elvis Peguero,58.0,8.5,3.7,0.9,.305,72.7%,3.92,3.96,0.1,MIL,RP
Connor Thomas,54.0,6.6,2.3,1.0,.301,72.6%,3.89,4.09,0.0,MIL,RP
Abner Uribe,53.0,10.7,4.8,0.8,.300,75.4%,3.51,3.68,0.2,MIL,RP
Craig Yoho,50.0,9.9,3.7,1.0,.297,74.2%,3.72,3.79,0.1,MIL,RP
DL Hall,47.0,9.4,3.9,1.1,.295,74.1%,3.95,4.13,0.1,MIL,RP
Jacob Misiorowski,37.0,9.4,4.5,1.2,.291,72.5%,4.32,4.49,0.0,MIL,RP
Aaron Ashby,36.0,8.4,4.5,0.9,.306,73.0%,4.06,4.23,0.0,MIL,RP
Grant Anderson,34.0,8.8,3.4,1.2,.292,72.7%,4.17,4.27,0.0,MIL,RP
J.B. Bukauskas,28.0,7.9,3.0,1.0,.303,72.6%,3.90,3.96,0.0,MIL,RP
Grant Wolfram,25.0,8.4,4.1,1.2,.293,73.4%,4.27,4.51,0.0,MIL,RP
Chad Patrick,24.0,7.9,2.6,1.4,.286,72.0%,4.38,4.51,0.0,MIL,RP
Deivi García,23.0,8.7,4.3,1.3,.290,72.2%,4.55,4.69,0.0,MIL,RP
Vinny Nittoli,19.0,8.3,3.1,1.3,.291,72.2%,4.34,4.43,0.0,MIL,RP
Nestor Cortes,18.0,9.1,2.5,1.4,.284,74.0%,4.02,4.12,0.0,MIL,RP
Bruce Zimmermann,15.0,8.2,2.1,1.2,.296,73.8%,3.78,3.88,0.0,MIL,RP
Carlos Rodriguez,12.0,8.2,3.3,1.4,.285,72.3%,4.45,4.66,0.0,MIL,RP
Logan Henderson,10.0,9.6,2.6,1.3,.285,74.1%,3.86,3.92,0.0,MIL,RP
Total,537.0,9.2,3.5,1.1,.296,73.8%,3.86,3.97,3.4,MIL,RP
MacKenzie Gore,174.0,9.7,3.4,1.1,.289,74.1%,3.75,3.87,2.7,WSH,SP
Jake Irvin,169.0,7.5,2.9,1.3,.294,71.6%,4.34,4.45,1.6,WSH,SP
Mitchell Parker,145.0,7.9,3.3,1.3,.288,72.9%,4.26,4.46,1.3,WSH,SP
DJ Herz,130.0,9.7,4.4,1.2,.280,74.5%,4.01,4.33,1.5,WSH,SP
Trevor Williams,96.0,7.2,2.7,1.4,.293,71.4%,4.50,4.59,0.8,WSH,SP
Cade Cavalli,83.0,8.5,3.4,1.2,.290,72.1%,4.18,4.30,0.9,WSH,SP
Michael Soroka,80.0,8.4,3.5,1.2,.293,72.0%,4.25,4.36,0.9,WSH,SP
Jackson Rutledge,9.0,7.7,3.6,1.2,.288,71.7%,4.36,4.59,0.1,WSH,SP
Brad Lord,9.0,6.5,3.3,1.2,.293,70.5%,4.56,4.74,0.1,WSH,SP
Josiah Gray,9.0,8.3,3.4,1.5,.284,72.1%,4.59,4.76,0.1,WSH,SP
Total,905.0,8.5,3.4,1.2,.289,72.8%,4.17,4.32,9.9,WSH,SP
Derek Law,77.0,7.8,3.1,1.0,.295,72.8%,3.94,4.09,0.4,WSH,RP
Jose A. Ferrer,63.0,7.7,3.3,0.9,.298,73.7%,3.71,4.00,0.5,WSH,RP
Eduardo Salazar,61.0,6.6,3.4,1.0,.297,71.5%,4.25,4.52,-0.1,WSH,RP
Joan Adon,60.0,7.6,3.4,1.1,.294,72.3%,4.21,4.44,0.0,WSH,RP
Joe La Sorsa,59.0,6.3,2.7,1.2,.291,71.7%,4.31,4.60,-0.1,WSH,RP
Zach Brzykcy,58.0,8.6,4.2,1.2,.289,72.8%,4.31,4.51,-0.1,WSH,RP
Evan Reifert,56.0,9.0,4.4,1.1,.290,73.2%,4.13,4.35,0.0,WSH,RP
Mason Thompson,53.0,7.5,3.5,1.1,.297,72.1%,4.17,4.33,0.0,WSH,RP
Orlando Ribalta,48.0,8.1,4.4,1.3,.282,72.4%,4.59,4.89,0.0,WSH,RP
Amos Willingham,45.0,7.4,3.5,1.3,.291,71.6%,4.51,4.68,-0.1,WSH,RP
Michael Soroka,41.0,8.4,3.5,1.2,.293,72.0%,4.25,4.36,0.0,WSH,RP
Tyler Stuart,35.0,8.0,2.7,1.1,.292,73.0%,3.79,3.96,0.1,WSH,RP
Trevor Williams,33.0,7.2,2.7,1.4,.293,71.4%,4.50,4.59,0.0,WSH,RP
Andry Lara,28.0,7.0,3.2,1.3,.288,71.9%,4.36,4.61,0.0,WSH,RP
Jackson Rutledge,26.0,7.7,3.6,1.2,.288,71.7%,4.36,4.59,0.0,WSH,RP
Cade Cavalli,24.0,8.5,3.4,1.2,.290,72.1%,4.18,4.30,0.0,WSH,RP
Chase Solesky,22.0,5.8,2.8,1.3,.293,70.5%,4.66,4.85,0.0,WSH,RP
DJ Herz,21.0,9.7,4.4,1.2,.280,74.5%,4.01,4.33,0.0,WSH,RP
Andrew Alvarez,17.0,6.9,3.1,1.0,.296,73.1%,3.89,4.22,0.0,WSH,RP
Clay Helvey,15.0,7.8,4.3,1.2,.294,71.9%,4.47,4.67,0.0,WSH,RP
Mitchell Parker,12.0,7.9,3.3,1.3,.288,72.9%,4.26,4.46,0.0,WSH,RP
Josiah Gray,10.0,8.3,3.4,1.5,.284,72.1%,4.59,4.76,0.0,WSH,RP
Total,553.0,7.7,3.5,1.2,.292,72.4%,4.21,4.42,0.4,WSH,RP
Sean Manaea,181.0,9.0,3.2,1.3,.287,73.5%,4.01,4.17,2.0,NYM,SP
Frankie Montas,155.0,8.6,3.2,1.2,.290,73.1%,4.05,4.18,1.8,NYM,SP
Kodai Senga,152.0,9.8,3.6,1.1,.288,74.3%,3.73,3.85,2.6,NYM,SP
David Peterson,144.0,8.3,3.4,1.0,.297,74.6%,3.67,4.00,1.7,NYM,SP
Clay Holmes,120.0,8.4,3.6,0.7,.303,73.5%,3.52,3.69,1.8,NYM,SP
Paul Blackburn,72.0,7.8,2.5,1.2,.294,72.6%,4.04,4.14,0.8,NYM,SP
Griffin Canning,54.0,8.3,2.8,1.3,.290,73.5%,4.07,4.24,0.5,NYM,SP
Tylor Megill,18.0,9.7,2.9,1.0,.290,74.9%,3.47,3.60,0.3,NYM,SP
Brandon Sproat,18.0,7.9,3.3,1.2,.291,72.2%,4.17,4.32,0.2,NYM,SP
Jonathan Pintaro,9.0,7.2,3.3,1.2,.293,71.3%,4.39,4.55,0.1,NYM,SP
Total,922.0,8.7,3.3,1.1,.293,73.6%,3.86,4.03,11.8,NYM,SP
Edwin Díaz,66.0,12.5,3.3,0.8,.284,76.6%,2.91,2.85,1.6,NYM,RP
José Buttó,62.0,9.0,3.3,1.1,.286,73.8%,3.86,4.03,0.2,NYM,RP
Reed Garrett,68.0,10.2,3.7,1.0,.288,75.7%,3.42,3.63,0.7,NYM,RP
Dedniel Núñez,61.0,10.0,3.3,1.0,.285,75.5%,3.44,3.61,0.5,NYM,RP
Danny Young,59.0,9.4,3.9,0.9,.295,74.7%,3.56,3.87,0.1,NYM,RP
Sean Reid-Foley,56.0,9.9,4.4,1.0,.290,74.6%,3.75,3.93,0.1,NYM,RP
Huascar Brazobán,54.0,9.1,4.0,1.0,.291,73.7%,3.84,4.04,0.0,NYM,RP
Tylor Megill,50.0,9.7,2.9,1.0,.290,74.9%,3.47,3.60,0.2,NYM,RP
Génesis Cabrera,48.0,8.5,3.9,1.2,.286,73.8%,4.09,4.40,0.0,NYM,RP
Griffin Canning,44.0,8.3,2.8,1.3,.290,73.5%,4.07,4.24,0.0,NYM,RP
Paul Blackburn,40.0,7.8,2.5,1.2,.294,72.6%,4.04,4.14,0.0,NYM,RP
Dylan Covey,36.0,7.7,3.4,0.9,.298,73.0%,3.87,4.07,0.0,NYM,RP
Kevin Herget,34.0,7.8,2.4,1.3,.285,73.0%,3.98,4.17,0.0,NYM,RP
Chris Devenski,30.0,8.3,3.1,1.4,.284,72.0%,4.35,4.45,0.0,NYM,RP
Max Kranick,26.0,7.6,3.1,1.3,.282,73.2%,4.24,4.57,0.0,NYM,RP
Clay Holmes,24.0,8.4,3.6,0.7,.303,73.5%,3.52,3.69,0.0,NYM,RP
Justin Hagenman,22.0,8.3,2.6,1.3,.286,73.0%,4.01,4.16,0.0,NYM,RP
Tyler Zuber,19.0,8.1,3.9,1.4,.285,72.0%,4.64,4.81,0.0,NYM,RP
Grant Hartwig,17.0,7.8,3.9,1.1,.292,72.5%,4.21,4.49,0.0,NYM,RP
Kodai Senga,14.0,9.8,3.6,1.1,.288,74.3%,3.73,3.85,0.0,NYM,RP
Bryce Montes de Oca,12.0,10.9,4.6,1.0,.289,75.3%,3.62,3.83,0.0,NYM,RP
David Peterson,10.0,8.3,3.4,1.0,.297,74.6%,3.67,4.00,0.0,NYM,RP
Total,536.0,9.2,3.4,1.1,.289,74.1%,3.75,3.92,3.6,NYM,RP
Zack Wheeler,201.0,9.6,2.3,1.0,.288,74.8%,3.32,3.41,4.7,PHI,SP
Aaron Nola,188.0,8.9,2.2,1.3,.293,73.3%,3.83,3.82,3.2,PHI,SP
Cristopher Sánchez,170.0,7.9,2.5,0.9,.302,73.7%,3.48,3.62,3.2,PHI,SP
Ranger Suárez,155.0,8.1,2.9,0.9,.298,73.9%,3.59,3.77,2.8,PHI,SP
Jesús Luzardo,146.0,9.3,3.1,1.3,.287,74.4%,3.93,4.11,2.1,PHI,SP
Andrew Painter,65.0,8.2,3.0,1.4,.287,72.1%,4.37,4.50,0.7,PHI,SP
Taijuan Walker,18.0,6.9,2.9,1.4,.292,72.0%,4.48,4.71,0.2,PHI,SP
Joe Ross,9.0,8.2,3.0,1.2,.292,73.5%,4.00,4.21,0.1,PHI,SP
Total,951.0,8.7,2.6,1.1,.293,73.8%,3.69,3.80,16.9,PHI,SP
Jordan Romano,60.0,9.6,3.5,1.2,.288,73.7%,3.88,3.98,0.5,PHI,RP
Matt Strahm,68.0,10.7,2.5,1.1,.283,76.2%,3.29,3.41,1.3,PHI,RP
Orion Kerkering,64.0,10.3,3.1,0.9,.294,75.3%,3.20,3.30,1.0,PHI,RP
José Alvarado,62.0,10.5,4.1,0.9,.293,76.2%,3.29,3.55,0.7,PHI,RP
Tanner Banks,70.0,9.0,3.0,1.1,.292,74.5%,3.64,3.83,0.4,PHI,RP
José Ruiz,60.0,8.7,3.5,1.2,.291,73.2%,4.09,4.24,0.1,PHI,RP
Joe Ross,56.0,8.2,3.0,1.2,.292,73.5%,4.00,4.21,0.1,PHI,RP
Max Lazar,50.0,7.4,3.0,1.2,.295,72.2%,4.19,4.34,0.1,PHI,RP
Taijuan Walker,48.0,6.9,2.9,1.4,.292,72.0%,4.48,4.71,0.0,PHI,RP
Tyler Phillips,43.0,6.9,2.6,1.1,.298,72.2%,4.04,4.21,0.1,PHI,RP
Michael Mercado,40.0,8.0,3.7,1.5,.284,72.1%,4.66,4.90,-0.1,PHI,RP
Devin Sweet,33.0,8.7,3.6,1.3,.286,73.0%,4.26,4.45,0.0,PHI,RP
Alan Rangel,30.0,8.0,2.8,1.5,.279,72.8%,4.34,4.59,0.0,PHI,RP
Kyle Tyler,28.0,7.3,3.3,1.1,.295,72.3%,4.22,4.43,0.0,PHI,RP
Griff McGarry,26.0,9.0,5.4,1.2,.289,72.9%,4.55,4.83,0.0,PHI,RP
Seth Johnson,24.0,7.5,4.0,1.4,.289,71.6%,4.76,4.96,0.0,PHI,RP
Mick Abel,22.0,8.3,4.2,1.2,.289,72.6%,4.38,4.64,0.0,PHI,RP
John McMillon,21.0,9.9,4.8,1.1,.290,74.3%,4.04,4.27,0.0,PHI,RP
Guillo Zuñiga,17.0,7.5,3.9,1.4,.289,71.6%,4.74,4.96,0.0,PHI,RP
Jesús Luzardo,15.0,9.3,3.1,1.3,.287,74.4%,3.93,4.11,0.0,PHI,RP
Ranger Suárez,12.0,8.1,2.9,0.9,.298,73.9%,3.59,3.77,0.0,PHI,RP
Andrew Painter,10.0,8.2,3.0,1.4,.287,72.1%,4.37,4.50,0.0,PHI,RP
Total,507.0,8.8,3.3,1.2,.290,73.6%,3.96,4.15,4.1,PHI,RP
Paul Skenes,188.0,11.6,2.6,0.8,.299,76.3%,2.80,2.67,5.8,PIT,SP
Mitch Keller,182.0,8.2,2.8,1.1,.301,70.3%,4.25,4.09,2.3,PIT,SP
Jared Jones,159.0,9.3,3.1,1.1,.293,73.0%,3.91,3.91,2.5,PIT,SP
Bailey Falter,121.0,6.8,2.7,1.4,.294,70.8%,4.61,4.64,1.0,PIT,SP
Johan Oviedo,118.0,7.7,3.7,1.1,.301,70.9%,4.46,4.47,1.0,PIT,SP
Bubba Chandler,92.0,7.8,3.7,1.2,.297,71.0%,4.50,4.52,0.7,PIT,SP
Mike Burrows,37.0,7.8,3.3,1.3,.293,71.2%,4.48,4.50,0.4,PIT,SP
Braxton Ashcraft,18.0,7.7,2.4,1.2,.299,71.6%,4.11,4.04,0.2,PIT,SP
Thomas Harrington,9.0,7.4,2.5,1.4,.290,71.1%,4.43,4.46,0.1,PIT,SP
Hunter Barco,9.0,7.4,3.4,1.1,.300,71.5%,4.37,4.45,0.1,PIT,SP
Total,934.0,8.7,3.0,1.1,.297,72.1%,4.01,3.96,14.1,PIT,SP
David Bednar,67.0,9.7,3.4,1.1,.291,73.4%,3.81,3.79,0.9,PIT,RP
Dennis Santana,70.0,8.5,3.7,1.0,.299,72.3%,4.13,4.14,0.2,PIT,RP
Colin Holderman,64.0,9.2,3.7,0.9,.299,72.9%,3.85,3.88,0.6,PIT,RP
Kyle Nicolas,62.0,9.2,4.2,1.1,.296,73.0%,4.11,4.20,0.0,PIT,RP
Carmen Mlodzinski,61.0,8.2,3.5,1.1,.300,71.9%,4.21,4.19,0.1,PIT,RP
Joey Wentz,67.0,8.9,3.5,1.1,.294,73.3%,4.03,4.09,0.2,PIT,RP
Tanner Rainey,57.0,8.0,4.2,1.4,.287,71.3%,4.83,4.97,-0.1,PIT,RP
Peter Strzelecki,53.0,7.7,3.5,1.2,.297,70.7%,4.54,4.52,0.0,PIT,RP
Dauri Moreta,48.0,9.4,3.7,1.1,.292,72.9%,4.09,4.11,0.0,PIT,RP
Elvis Alvarado,42.0,8.2,4.4,1.1,.296,71.8%,4.48,4.59,0.0,PIT,RP
Yohan Ramírez,37.0,8.1,3.8,1.0,.303,71.6%,4.19,4.32,0.0,PIT,RP
Braxton Ashcraft,33.0,7.7,2.4,1.2,.299,71.6%,4.11,4.04,0.0,PIT,RP
Mike Burrows,30.0,7.8,3.3,1.3,.293,71.2%,4.48,4.50,0.0,PIT,RP
Eddy Yean,28.0,6.4,3.8,1.1,.301,70.3%,4.74,4.80,0.0,PIT,RP
Hunter Stratton,26.0,8.5,3.4,1.1,.294,72.2%,4.15,4.21,0.0,PIT,RP
Bailey Falter,24.0,6.8,2.7,1.4,.294,70.8%,4.61,4.64,0.0,PIT,RP
Carson Fulmer,22.0,7.9,3.8,1.1,.304,71.7%,4.42,4.42,0.0,PIT,RP
Isaac Mattson,19.0,8.3,4.7,1.2,.292,71.8%,4.62,4.75,0.0,PIT,RP
Johan Oviedo,17.0,7.7,3.7,1.1,.301,70.9%,4.46,4.47,0.0,PIT,RP
J.C. Flowers,12.0,6.4,5.1,1.1,.302,70.3%,5.03,5.16,0.0,PIT,RP
Thomas Harrington,10.0,7.4,2.5,1.4,.290,71.1%,4.43,4.46,0.0,PIT,RP
Jared Jones,8.0,9.3,3.1,1.1,.293,73.0%,3.91,3.91,0.0,PIT,RP
Total,524.0,8.4,3.7,1.1,.296,72.0%,4.25,4.29,1.8,PIT,RP
Sonny Gray,185.0,9.6,2.5,1.0,.296,74.0%,3.40,3.36,3.7,STL,SP
Erick Fedde,179.0,7.7,2.8,1.2,.293,72.0%,4.21,4.27,2.2,STL,SP
Miles Mikolas,176.0,6.5,1.7,1.3,.296,70.8%,4.29,4.32,1.8,STL,SP
Andre Pallante,137.0,6.7,3.6,0.8,.310,71.6%,4.00,4.10,1.5,STL,SP
Steven Matz,88.0,8.0,2.5,1.1,.294,72.6%,3.89,3.98,1.2,STL,SP
Quinn Mathews,83.0,8.1,3.4,1.1,.293,73.2%,3.97,4.20,0.9,STL,SP
Tink Hence,37.0,7.5,3.3,1.2,.293,71.7%,4.30,4.43,0.3,STL,SP
Michael McGreevy,19.0,6.8,1.9,1.0,.299,72.4%,3.69,3.79,0.3,STL,SP
Tekoah Roby,18.0,6.7,3.1,1.3,.292,70.6%,4.65,4.77,0.1,STL,SP
Gordon Graceffo,9.0,6.7,2.7,1.2,.293,71.5%,4.31,4.47,0.1,STL,SP
Total,932.0,7.7,2.7,1.1,.297,72.2%,3.99,4.05,11.9,STL,SP
Ryan Helsley,67.0,11.3,3.4,0.9,.285,77.0%,3.05,3.15,1.5,STL,RP
Matthew Liberatore,68.0,8.7,3.0,1.0,.292,74.6%,3.58,3.81,0.5,STL,RP
Ryan Fernandez,66.0,8.8,3.6,1.0,.295,73.6%,3.81,3.94,0.2,STL,RP
JoJo Romero,62.0,8.8,3.1,0.9,.297,75.2%,3.45,3.71,0.3,STL,RP
John King,60.0,6.3,2.7,0.8,.308,72.6%,3.72,3.89,0.2,STL,RP
Kyle Leahy,57.0,7.1,3.1,1.1,.297,72.2%,4.14,4.31,0.0,STL,RP
Zack Thompson,55.0,9.2,3.7,1.0,.291,75.0%,3.62,3.91,0.1,STL,RP
Riley O'Brien,51.0,9.0,4.2,0.9,.297,73.9%,3.75,3.98,0.1,STL,RP
Chris Roycroft,48.0,7.5,3.9,0.9,.299,72.6%,4.06,4.29,0.0,STL,RP
Ryan Loutos,44.0,7.2,3.6,1.1,.297,72.1%,4.25,4.43,0.0,STL,RP
Gordon Graceffo,40.0,6.7,2.7,1.2,.293,71.5%,4.31,4.47,0.0,STL,RP
Matt Svanson,38.0,6.4,3.5,1.0,.301,71.4%,4.27,4.47,0.0,STL,RP
Michael McGreevy,35.0,6.8,1.9,1.0,.299,72.4%,3.69,3.79,0.0,STL,RP
Steven Matz,28.0,8.0,2.5,1.1,.294,72.6%,3.89,3.98,0.0,STL,RP
Roddery Muñoz,26.0,8.1,3.6,1.3,.292,72.5%,4.39,4.55,0.0,STL,RP
Sem Robberse,24.0,7.5,2.7,1.1,.292,72.7%,3.96,4.13,0.0,STL,RP
Andre Pallante,22.0,6.7,3.6,0.8,.310,71.6%,4.00,4.10,0.0,STL,RP
Andre Granillo,21.0,8.1,4.6,1.3,.284,72.4%,4.66,4.92,0.0,STL,RP
Packy Naughton,17.0,7.9,3.0,1.0,.296,73.9%,3.72,3.97,0.0,STL,RP
Drew Rom,15.0,8.6,3.2,1.0,.294,74.2%,3.66,3.88,0.0,STL,RP
Ian Bedell,12.0,7.6,3.2,1.3,.288,71.9%,4.35,4.54,0.0,STL,RP
Alex Cornwell,10.0,6.6,2.8,0.9,.300,73.2%,3.76,4.05,0.0,STL,RP
Total,526.0,8.1,3.3,1.0,.296,73.4%,3.83,4.02,2.8,STL,RP
Dylan Cease,191.0,10.7,3.4,1.1,.288,75.2%,3.52,3.56,3.6,SDP,SP
Michael King,180.0,9.6,3.2,1.1,.291,74.3%,3.69,3.82,3.1,SDP,SP
Yu Darvish,168.0,8.6,2.5,1.3,.290,71.6%,4.20,4.19,2.0,SDP,SP
Randy Vásquez,140.0,6.8,3.1,1.4,.293,70.3%,4.71,4.86,1.0,SDP,SP
Matt Waldron,118.0,7.2,2.7,1.4,.290,70.4%,4.60,4.69,0.9,SDP,SP
Omar Cruz,65.0,7.8,4.1,1.3,.287,72.3%,4.49,4.83,0.3,SDP,SP
Ryan Bergert,28.0,7.1,3.4,1.5,.287,71.2%,4.76,4.96,0.1,SDP,SP
Austin Krob,18.0,7.0,3.4,1.0,.298,72.6%,4.07,4.35,0.2,SDP,SP
Jhony Brito,9.0,7.2,2.9,1.2,.295,71.9%,4.19,4.33,0.1,SDP,SP
Adrian Morejon,9.0,9.4,3.4,1.0,.292,74.8%,3.63,3.82,0.1,SDP,SP
Total,925.0,8.6,3.1,1.2,.290,72.5%,4.12,4.22,11.5,SDP,SP
Robert Suarez,65.0,9.5,3.0,1.1,.291,74.8%,3.59,3.73,0.8,SDP,RP
Jason Adam,70.0,10.4,3.2,1.0,.286,74.1%,3.48,3.54,1.0,SDP,RP
Jeremiah Estrada,64.0,11.8,3.9,1.0,.286,76.8%,3.29,3.40,0.8,SDP,RP
Sean Reynolds,62.0,8.6,4.4,1.2,.292,72.9%,4.32,4.54,-0.2,SDP,RP
Bryan Hoeing,67.0,7.4,2.8,1.1,.301,72.3%,4.07,4.15,0.1,SDP,RP
Adrian Morejon,58.0,9.4,3.4,1.0,.292,74.8%,3.63,3.82,0.2,SDP,RP
Yuki Matsui,55.0,10.4,3.8,1.1,.288,76.4%,3.56,3.79,0.1,SDP,RP
Wandy Peralta,53.0,8.1,3.7,1.0,.297,74.2%,3.78,4.13,0.1,SDP,RP
Alek Jacob,48.0,7.9,3.5,1.2,.290,72.2%,4.33,4.54,0.0,SDP,RP
Tom Cosgrove,44.0,8.2,3.8,1.2,.288,73.2%,4.20,4.53,0.0,SDP,RP
Stephen Kolek,40.0,7.6,3.1,1.0,.299,72.7%,3.92,4.12,0.0,SDP,RP
Jhony Brito,36.0,7.2,2.9,1.2,.295,71.9%,4.19,4.33,0.0,SDP,RP
Francis Pena,33.0,7.5,3.6,1.1,.297,72.4%,4.16,4.36,0.0,SDP,RP
Juan Nuñez,28.0,7.4,5.1,1.4,.287,71.4%,5.05,5.36,-0.1,SDP,RP
Bradgley Rodriguez,26.0,8.4,4.5,1.2,.290,72.6%,4.46,4.71,0.0,SDP,RP
Omar Cruz,24.0,7.8,4.1,1.3,.287,72.3%,4.49,4.83,0.0,SDP,RP
Austin Krob,22.0,7.0,3.4,1.0,.298,72.6%,4.07,4.35,0.0,SDP,RP
Ryan Och,19.0,9.0,4.6,1.1,.293,74.0%,4.12,4.43,0.0,SDP,RP
Ryan Bergert,17.0,7.1,3.4,1.5,.287,71.2%,4.76,4.96,0.0,SDP,RP
Jared Kollar,12.0,6.8,2.5,1.4,.289,71.5%,4.51,4.68,0.0,SDP,RP
Jay Groome,10.0,7.9,4.1,1.3,.289,73.1%,4.38,4.71,0.0,SDP,RP
Randy Vásquez,8.0,6.8,3.1,1.4,.293,70.3%,4.71,4.86,0.0,SDP,RP
Total,533.0,8.7,3.6,1.1,.292,73.5%,3.97,4.17,2.7,SDP,RP
Logan Webb,204.0,7.8,2.0,0.8,.310,72.1%,3.46,3.29,3.6,SFG,SP
Robbie Ray,161.0,9.7,2.9,1.3,.288,73.3%,3.96,3.95,1.9,SFG,SP
Kyle Harrison,145.0,9.2,3.3,1.2,.292,72.7%,4.06,4.09,1.3,SFG,SP
Jordan Hicks,131.0,8.0,3.9,0.9,.304,71.4%,4.18,4.19,0.9,SFG,SP
Hayden Birdsong,95.0,9.5,4.0,1.1,.293,72.9%,4.07,4.11,0.7,SFG,SP
Landen Roupp,82.0,8.6,3.6,1.0,.297,72.8%,3.89,3.94,1.0,SFG,SP
Mason Black,44.0,8.0,3.0,1.2,.293,71.3%,4.30,4.32,0.3,SFG,SP
Carson Whisenhunt,46.0,8.6,3.4,1.1,.292,73.1%,3.95,4.08,0.4,SFG,SP
Tristan Beck,9.0,7.9,2.4,1.2,.293,72.2%,3.98,4.02,0.1,SFG,SP
Trevor McDonald,9.0,7.1,2.9,0.9,.302,71.3%,4.01,4.08,0.1,SFG,SP
Total,926.0,8.7,3.1,1.0,.298,72.4%,3.92,3.90,10.4,SFG,SP
Ryan Walker,72.0,10.7,2.9,0.8,.295,75.4%,3.08,3.09,1.1,SFG,RP
